Symbol,Tick,Company
GPPL,GPPV IS,GUJARAT PIPAVAV PORT LTD
GSCLCEMENT,GSCL IS,GUJARAT SIDHEE CEMENT LTD
GSPL,GUJS IS,GUJARAT STATE PETRONET LTD
GULPOLY,GULP IS,GULSHAN POLYOLS LTD
GAL,GYSC IS,GYSCOAL ALLOYS LTD
HARITASEAT,HARS IS,HARITA SEATING SYSTEMS LTD
HATSUN,HTSMF IS,HATSUN AGRO PRODUCT LTD
HAVELLS,HAVL IS,HAVELLS INDIA LTD
HBSL,HBSH IS,HB STOCKHOLDINGS LTD
HBLPOWER,HBPS IS,HBL POWER SYSTEMS LTD
HCL-INSYS,HCLI IS,HCL INFOSYSTEMS LTD
HCLTECH,HCLT IS,HCL TECHNOLOGIES LTD
HDFCBANK,HDFCB IS,HDFC BANK LTD
HEG,HEG IS,HEG LTD
HEIDELBERG,HEIM IS,HEIDELBERGCEMENT INDIA LTD
HERCULES,HCH IS,HERCULES HOISTS LTD
HERITGFOOD,HTFL IS,HERITAGE FOODS LTD
HEROMOTOCO,HMCL IS,HERO MOTOCORP LTD
HESTERBIO,HBIO IS,HESTER BIOSCIENCES LTD
HEXATRADEX,HEXA IS,HEXA TRADEX LTD
HEXAWARE,HEXW IS,HEXAWARE TECHNOLOGIES LTD
HIGHGROUND,HGEL IS,HIGH GROUND ENTERPRISE LTD
HIKAL,HKCI IS,HIKAL LTD
HIL,HIL IS,HIL LTD
HILTON,HMFL IS,HILTON METAL FORGING LTD
HIMATSEIDE,HSS IS,HIMATSINGKA SEIDE LTD
HIRECT,HREC IS,HIND RECTIFIERS LTD
HINDSYNTEX,HSYN IS,HIND SYNTEX LTD
HINDALCO,HNDL IS,HINDALCO INDUSTRIES LTD
HGS,HGSL IS,HINDUJA GLOBAL SOLUTIONS LTD
HINDUJAVEN,HVL IS,HINDUJA VENTURES LTD
HAL,HNAL IS,HINDUSTAN AERONAUTICS LTD
HINDCOMPOS,HDCM IS,HINDUSTAN COMPOSITES LTD
HINDCOPPER,HCP IS,HINDUSTAN COPPER LTD
HMVL,HMVL IS,HINDUSTAN MEDIA VENTURES LTD
HINDMOTORS,HM IS,HINDUSTAN MOTORS LTD
HINDUNILVR,HUVR IS,HINDUSTAN UNILEVER LTD
HINDZINC,HZ IS,HINDUSTAN ZINC LTD
HISARMETAL,HMIL IS,HISAR METAL INDUSTRIES LTD
HITECH,HITECH IS,HI-TECH PIPES LTD
HMT,HMT IS,HMT LTD
HOTELRUGBY,HRB IS,HOTEL RUGBY LTD
HOVS,HOVS IS,HOV SERVICES LTD
HPL,HPLE IS,HPL ELECTRIC & POWER LTD
HSIL,HSI IS,HSIL LTD
HTMEDIA,HTML IS,HT MEDIA LTD
HUBTOWN,HUB IS,HUBTOWN LTD
PAPERPROD,HPPL IS,HUHTAMAKI PPL LTD
ICICIBANK,ICICIBC IS,ICICI BANK LTD
ISEC,ISEC IS,ICICI SECURITIES LTD
ICRA,ICRA IS,ICRA LTD
IDBI,IDBI IS,IDBI BANK LTD
IDFCFIRSTB,IDFCFB IS,IDFC FIRST BANK LTD
